"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","445","Login com password em branco","","Thu Apr 09 20:49:49 UTC 2026","passed","Thu Apr 09 20:49:50 UTC 2026","","Testes de login de usuário","com.toolsqa.bookstore.tests.LoginUserTest","shouldNotLoginWithEmptyPassword"
"","448","Criar uma conta com username e password em branco","","Thu Apr 09 20:49:37 UTC 2026","passed","Thu Apr 09 20:49:38 UTC 2026","","Testes de criação de usuário","com.toolsqa.bookstore.tests.CreateUserTest","shouldNotCreateUserWithEmptyUsernameAndPassword"
"","453","Login com username em branco","","Thu Apr 09 20:49:46 UTC 2026","passed","Thu Apr 09 20:49:47 UTC 2026","","Testes de login de usuário","com.toolsqa.bookstore.tests.LoginUserTest","shouldNotLoginWithEmptyUsername"
"","1515","Criar uma conta com os mesmos dados de uma conta já existente","","Thu Apr 09 20:49:38 UTC 2026","passed","Thu Apr 09 20:49:39 UTC 2026","","Testes de criação de usuário","com.toolsqa.bookstore.tests.CreateUserTest","shouldNotCreateUserWithDuplicatedUsername"
"","5066","Deletar uma conta e tentar realizar login com a mesma","","Thu Apr 09 20:49:22 UTC 2026","passed","Thu Apr 09 20:49:27 UTC 2026","","Testes de deleção de conta","com.toolsqa.bookstore.tests.DeleteUserTest","shouldNotLoginAfterDeletingUser"
"","2016","Deletar um livro inexistente","","Thu Apr 09 20:49:34 UTC 2026","passed","Thu Apr 09 20:49:36 UTC 2026","","Testes de gerenciamento de livros","com.toolsqa.bookstore.tests.BookManagementTest","shouldNotDeleteBooksFromInvalidUser"
"","1029","Login com password inválido","","Thu Apr 09 20:49:48 UTC 2026","passed","Thu Apr 09 20:49:49 UTC 2026","","Testes de login de usuário","com.toolsqa.bookstore.tests.LoginUserTest","shouldNotLoginWithInvalidPassword"
"","2826","Adicionar um livro inexistente","","Thu Apr 09 20:49:31 UTC 2026","passed","Thu Apr 09 20:49:34 UTC 2026","","Testes de gerenciamento de livros","com.toolsqa.bookstore.tests.BookManagementTest","shouldNotAddNonexistentBook"
"","3831","Criar uma conta com sucesso","","Thu Apr 09 20:49:39 UTC 2026","passed","Thu Apr 09 20:49:43 UTC 2026","","Testes de criação de usuário","com.toolsqa.bookstore.tests.CreateUserTest","shouldCreateUserSuccessfully"
"","1927","Login com sucesso","","Thu Apr 09 20:49:43 UTC 2026","passed","Thu Apr 09 20:49:45 UTC 2026","","Testes de login de usuário","com.toolsqa.bookstore.tests.LoginUserTest","shouldLoginSuccessfully"
"","5910","Criar uma conta e deletar a mesma","","Thu Apr 09 20:49:14 UTC 2026","passed","Thu Apr 09 20:49:20 UTC 2026","","Testes de deleção de conta","com.toolsqa.bookstore.tests.DeleteUserTest","shouldCreateAndDeleteUser"
"","437","Criar uma conta com password em branco","","Thu Apr 09 20:49:37 UTC 2026","passed","Thu Apr 09 20:49:37 UTC 2026","","Testes de criação de usuário","com.toolsqa.bookstore.tests.CreateUserTest","shouldNotCreateUserWithEmptyPassword"
"","1347","Login com username inválido","","Thu Apr 09 20:49:45 UTC 2026","passed","Thu Apr 09 20:49:46 UTC 2026","","Testes de login de usuário","com.toolsqa.bookstore.tests.LoginUserTest","shouldNotLoginWithInvalidUsername"
"","1362","Login com username e password inválidos","","Thu Apr 09 20:49:47 UTC 2026","passed","Thu Apr 09 20:49:48 UTC 2026","","Testes de login de usuário","com.toolsqa.bookstore.tests.LoginUserTest","shouldNotLoginWithInvalidUsernameAndPassword"
"","450","Criar uma conta com password sem caracteres especiais","","Thu Apr 09 20:49:37 UTC 2026","passed","Thu Apr 09 20:49:37 UTC 2026","","Testes de criação de usuário","com.toolsqa.bookstore.tests.CreateUserTest","shouldNotCreateUserWithoutSpecialCharacterInPassword"
"","2085","Deletar uma conta com ID inválido","","Thu Apr 09 20:49:20 UTC 2026","passed","Thu Apr 09 20:49:22 UTC 2026","","Testes de deleção de conta","com.toolsqa.bookstore.tests.DeleteUserTest","shouldNotDeleteUserWithInvalidId"
"","3934","Adicionar e remover um livro à lista de favoritos","","Thu Apr 09 20:49:27 UTC 2026","passed","Thu Apr 09 20:49:31 UTC 2026","","Testes de gerenciamento de livros","com.toolsqa.bookstore.tests.BookManagementTest","shouldAddBookToFavorites"
"","504","Acessar a lista de livros disponíveis","","Thu Apr 09 20:49:36 UTC 2026","passed","Thu Apr 09 20:49:36 UTC 2026","","Testes de gerenciamento de livros","com.toolsqa.bookstore.tests.BookManagementTest","shouldListAvailableBooks"
"","440","Criar uma conta com username em branco","","Thu Apr 09 20:49:36 UTC 2026","passed","Thu Apr 09 20:49:37 UTC 2026","","Testes de criação de usuário","com.toolsqa.bookstore.tests.CreateUserTest","shouldNotCreateUserWithEmptyUsername"
